Group,WGET
Group 1,1.01676641930
Group 1,.01676641930
Group 1,1.01676641931
Group 1,.01676641931
Group 1,1.01676641932
Group 1,.01676641932
Group 1,1.01676641933
Group 1,1.01676641934
Group 1,.01676641934
Group 1,1.01676641935
Group 1,.01676641935
Group 1,1.01676641936
Group 1,.01676641936
Group 1,1.01676641937
Group 1,.01676641937
Group 1,1.01676641938
Group 1,1.01676641939
Group 1,.01676641939
Group 1,1.01676641940
Group 1,.01676641940
Group 1,1.01676641941
Group 1,.01676641941
Group 1,1.01676641942
Group 1,1.01676641943
Group 1,.01676641943
Group 1,1.01676641944
Group 1,.01676641944
Group 1,1.01676641945
Group 1,.01676641945
Group 1,1.01676641946
Group 1,5.01676646523
Group 1,5.01676646529
Group 1,5.01676646534
Group 1,5.01676646539
Group 1,46.01676646545
Group 1,5.01676646550
Group 1,5.01676646555
Group 1,6.01676646561
Group 1,5.01676646566
Group 1,5.01676646571
Group 1,5.01676646576
Group 1,6.01676646582
Group 1,5.01676646587
Group 1,5.01676646592
Group 1,6.01676646598
Group 1,45.01676646603
Group 1,5.01676646608
Group 1,5.01676646613
Group 1,6.01676646619
Group 1,5.01676646624
Group 1,5.01676646629
Group 1,6.01676646635
Group 1,5.01676646640
Group 1,5.01676646645
Group 1,6.01676646651
Group 1,5.01676646656
Group 1,45.01676646661
Group 1,5.01676646666
Group 1,6.01676646672
Group 1,5.01676646677
