Group,IPERF
Group 1,9.16
Group 1,8.99
Group 1,9.04
Group 1,9.04
Group 1,8.85
Group 1,8.98
Group 1,9.06
Group 1,9.12
Group 1,9.16
Group 1,9.24
Group 1,8.97
Group 1,9.14
Group 1,9.06
Group 1,8.85
Group 1,9.29
Group 1,9.10
Group 1,9.09
Group 1,8.76
Group 1,8.85
Group 1,8.96
Group 1,9.13
Group 1,8.91
Group 1,8.87
Group 1,8.91
Group 1,9.05
Group 1,9.01
Group 1,9.11
Group 1,8.91
Group 1,8.99
Group 1,8.98
Group 2,31.86
Group 2,31.83
Group 2,31.85
Group 2,31.87
Group 2,31.71
Group 2,31.86
Group 2,31.88
Group 2,31.87
Group 2,31.87
Group 2,31.84
Group 2,31.70
Group 2,31.88
Group 2,31.87
Group 2,31.88
Group 2,31.85
Group 2,31.87
Group 2,31.88
Group 2,31.88
Group 2,31.81
Group 2,31.88
Group 2,31.85
Group 2,31.86
Group 2,31.84
Group 2,31.74
Group 2,31.89
Group 2,31.87
Group 2,31.86
Group 2,31.84
Group 2,31.87
Group 2,31.86
