Group,IPERF
Group 1,8.87
Group 1,8.93
Group 1,8.65
Group 1,8.96
Group 1,9.06
Group 1,8.99
Group 1,9.00
Group 1,9.00
Group 1,8.75
Group 1,9.04
Group 1,9.27
Group 1,8.77
Group 1,9.00
Group 1,9.00
Group 1,9.03
Group 1,9.01
Group 1,8.58
Group 1,8.70
Group 1,8.99
Group 1,8.95
Group 1,8.86
Group 1,9.02
Group 1,8.91
Group 1,8.90
Group 1,9.05
Group 1,9.07
Group 1,9.09
Group 1,8.76
Group 1,9.03
Group 1,9.04
Group 2,31.84
Group 2,31.89
Group 2,31.85
Group 2,31.87
Group 2,31.88
Group 2,31.65
Group 2,31.88
Group 2,31.87
Group 2,31.86
Group 2,31.86
Group 2,31.86
Group 2,31.84
Group 2,31.86
Group 2,31.85
Group 2,31.77
Group 2,31.84
Group 2,31.87
Group 2,31.85
Group 2,31.86
Group 2,31.88
Group 2,31.85
Group 2,31.89
Group 2,31.87
Group 2,31.80
Group 2,31.71
Group 2,31.88
Group 2,31.87
Group 2,31.85
Group 2,31.80
Group 2,31.88
