Data; Group; Nome_POD; IPERF
sáb 04 mar 2023 14:04:00 -03; Group 1; vote-79787c6c8b-lwdmh; 8.82
sáb 04 mar 2023 14:04:11 -03; Group 1; vote-79787c6c8b-lwdmh; 9.03
sáb 04 mar 2023 14:04:21 -03; Group 1; vote-79787c6c8b-lwdmh; 9.14
sáb 04 mar 2023 14:04:32 -03; Group 1; vote-79787c6c8b-lwdmh; 9.17
sáb 04 mar 2023 14:04:42 -03; Group 1; vote-79787c6c8b-lwdmh; 9.28
sáb 04 mar 2023 14:04:53 -03; Group 1; vote-79787c6c8b-lwdmh; 8.87
sáb 04 mar 2023 14:05:03 -03; Group 1; vote-79787c6c8b-lwdmh; 9.08
sáb 04 mar 2023 14:05:14 -03; Group 1; vote-79787c6c8b-lwdmh; 8.70
sáb 04 mar 2023 14:05:24 -03; Group 1; vote-79787c6c8b-lwdmh; 8.79
sáb 04 mar 2023 14:05:35 -03; Group 1; vote-79787c6c8b-lwdmh; 9.06
sáb 04 mar 2023 14:05:45 -03; Group 1; vote-79787c6c8b-lwdmh; 9.13
sáb 04 mar 2023 14:05:56 -03; Group 1; vote-79787c6c8b-lwdmh; 9.08
sáb 04 mar 2023 14:06:06 -03; Group 1; vote-79787c6c8b-lwdmh; 9.06
sáb 04 mar 2023 14:06:17 -03; Group 1; vote-79787c6c8b-lwdmh; 9.22
sáb 04 mar 2023 14:06:27 -03; Group 1; vote-79787c6c8b-lwdmh; 8.83
sáb 04 mar 2023 14:06:38 -03; Group 1; vote-79787c6c8b-lwdmh; 9.03
sáb 04 mar 2023 14:06:48 -03; Group 1; vote-79787c6c8b-lwdmh; 8.72
sáb 04 mar 2023 14:06:58 -03; Group 1; vote-79787c6c8b-lwdmh; 9.07
sáb 04 mar 2023 14:07:09 -03; Group 1; vote-79787c6c8b-lwdmh; 9.11
sáb 04 mar 2023 14:07:19 -03; Group 1; vote-79787c6c8b-lwdmh; 9.03
sáb 04 mar 2023 14:07:30 -03; Group 1; vote-79787c6c8b-lwdmh; 9.00
sáb 04 mar 2023 14:07:41 -03; Group 1; vote-79787c6c8b-lwdmh; 9.32
sáb 04 mar 2023 14:07:51 -03; Group 1; vote-79787c6c8b-lwdmh; 8.87
sáb 04 mar 2023 14:08:02 -03; Group 1; vote-79787c6c8b-lwdmh; 9.15
sáb 04 mar 2023 14:08:12 -03; Group 1; vote-79787c6c8b-lwdmh; 9.12
sáb 04 mar 2023 14:08:22 -03; Group 1; vote-79787c6c8b-lwdmh; 9.09
sáb 04 mar 2023 14:08:33 -03; Group 1; vote-79787c6c8b-lwdmh; 8.89
sáb 04 mar 2023 14:08:43 -03; Group 1; vote-79787c6c8b-lwdmh; 9.02
sáb 04 mar 2023 14:08:54 -03; Group 1; vote-79787c6c8b-lwdmh; 8.91
sáb 04 mar 2023 14:09:04 -03; Group 1; vote-79787c6c8b-lwdmh; 9.33
