Group,WGET
Group 1,1.01677453064
Group 1,1.01677453065
Group 1,1.01677453066
Group 1,.01677453066
Group 1,1.01677453067
Group 1,1.01677453068
Group 1,1.01677453069
Group 1,1.01677453070
Group 1,1.01677453071
Group 1,1.01677453072
Group 1,1.01677453073
Group 1,.01677453073
Group 1,1.01677453074
Group 1,1.01677453075
Group 1,1.01677453076
Group 1,1.01677453077
Group 1,1.01677453078
Group 1,1.01677453079
Group 1,.01677453079
Group 1,.01677453080
Group 1,1.01677453081
Group 1,1.01677453082
Group 1,1.01677453083
Group 1,1.01677453084
Group 1,1.01677453085
Group 1,1.01677453086
Group 1,.01677453086
Group 1,.01677453087
Group 1,1.01677453088
Group 1,1.01677453089
