Group,WGET
Group 2,.01677458513
Group 2,1.01677458514
Group 2,1.01677458515
Group 2,.01677458515
Group 2,1.01677458516
Group 2,.01677458516
Group 2,1.01677458517
Group 2,.01677458517
Group 2,1.01677458518
Group 2,.01677458518
Group 2,1.01677458519
Group 2,.01677458519
Group 2,41.01677458520
Group 2,.01677458520
Group 2,1.01677458521
Group 2,.01677458521
Group 2,1.01677458522
Group 2,.01677458522
Group 2,1.01677458523
Group 2,.01677458523
Group 2,1.01677458524
Group 2,.01677458524
Group 2,1.01677458525
Group 2,.01677458525
Group 2,1.01677458526
Group 2,.01677458526
Group 2,1.01677458527
Group 2,.01677458527
Group 2,1.01677458528
Group 2,.01677458528
