Group,WGET
Group 1,1.01677515344
Group 1,.01677515344
Group 1,1.01677515345
Group 1,.01677515345
Group 1,1.01677515346
Group 1,.01677515346
Group 1,1.01677515347
Group 1,.01677515347
Group 1,1.01677515348
Group 1,.01677515348
Group 1,1.01677515349
Group 1,.01677515349
Group 1,1.01677515350
Group 1,.01677515350
Group 1,1.01677515351
Group 1,.01677515351
Group 1,1.01677515352
Group 1,.01677515352
Group 1,1.01677515353
Group 1,.01677515353
Group 1,1.01677515354
Group 1,.01677515354
Group 1,1.01677515355
Group 1,.01677515355
Group 1,1.01677515356
Group 1,.01677515356
Group 1,1.01677515357
Group 1,.01677515357
Group 1,1.01677515358
Group 1,.01677515358
