Group,PING
Group 1,7.01677957802
Group 1,7.01677957809
Group 1,7.01677957816
Group 1,7.01677957823
Group 1,8.01677957831
Group 1,7.01677957838
Group 1,47.01677957845
Group 1,7.01677957852
Group 1,7.01677957860
Group 1,7.01677957867
Group 1,7.01677957874
Group 1,7.01677957881
Group 1,8.01677957889
Group 1,7.01677957896
Group 1,47.01677957903
Group 1,7.01677957910
Group 1,8.01677957918
Group 1,7.01677957925
Group 1,7.01677957932
Group 1,7.01677957939
Group 1,7.01677957946
Group 1,8.01677957954
Group 1,47.01677957961
Group 1,7.01677957968
Group 1,7.01677957975
Group 1,8.01677957983
Group 1,7.01677957990
Group 1,7.01677957997
Group 1,7.01677958004
Group 1,8.01677958012
Group 2,18.01677973970
Group 2,58.01677973988
Group 2,18.01677974006
Group 2,19.01677974025
Group 2,58.01677974043
Group 2,18.01677974061
Group 2,18.01677974079
Group 2,18.01677974097
Group 2,59.01677974116
Group 2,18.01677974134
Group 2,18.01677974152
Group 2,59.01677974171
Group 2,18.01677974189
Group 2,18.01677974207
Group 2,58.01677974225
Group 2,18.01677974243
Group 2,19.01677974262
Group 2,58.01677974280
Group 2,18.01677974298
Group 2,18.01677974316
Group 2,19.01677974335
Group 2,58.01677974353
Group 2,18.01677974371
Group 2,18.01677974389
Group 2,4058.01677974407
Group 2,18.01677974426
Group 2,18.01677974444
Group 2,58.01677974462
Group 2,18.01677974480
Group 2,19.01677974499
