Group,media
Group 1,7.008
Group 1,7.008
Group 1,7.00867
Group 1,7.008
Group 1,7.008
Group 1,7.00733
Group 1,7.01
Group 1,7.006
Group 1,7.00667
Group 1,7.00733
Group 2,18.019
Group 2,18.0153
Group 2,18.018
Group 2,18.0177
Group 2,18.0163
Group 2,18.017
Group 2,18.0157
Group 2,18.0163
Group 2,18.0183
Group 2,18.018
