Group,IPERF
Group 1,8.81
Group 1,8.81
Group 1,9.06
Group 1,8.95
Group 1,8.89
Group 1,8.87
Group 1,8.91
Group 1,8.72
Group 1,8.69
Group 1,8.71
Group 1,9.07
Group 1,8.64
Group 1,8.69
Group 1,8.97
Group 1,8.72
Group 1,8.99
Group 1,8.55
Group 1,8.77
Group 1,9.03
Group 1,8.64
Group 1,8.90
Group 1,8.68
Group 1,8.85
Group 1,9.18
Group 1,8.90
Group 1,8.73
Group 1,8.75
Group 1,8.88
Group 1,8.61
Group 1,8.73
Group 2,31.84
Group 2,31.86
Group 2,31.86
Group 2,31.87
Group 2,31.87
Group 2,31.74
Group 2,31.85
Group 2,31.87
Group 2,31.88
Group 2,31.88
Group 2,31.85
Group 2,31.86
Group 2,31.83
Group 2,31.70
Group 2,31.86
Group 2,31.85
Group 2,31.85
Group 2,31.86
Group 2,31.86
Group 2,31.85
Group 2,31.84
Group 2,31.83
Group 2,31.72
Group 2,31.85
Group 2,31.65
Group 2,31.85
Group 2,31.86
Group 2,31.83
Group 2,31.85
Group 2,31.86
