Group,PING
Group 2,18.01676648216
Group 2,59.01676648235
Group 2,18.01676648253
Group 2,18.01676648271
Group 2,58.01676648289
Group 2,19.01676648308
Group 2,18.01676648326
Group 2,58.01676648344
Group 2,18.01676648362
Group 2,19.01676648381
Group 2,18.01676648399
Group 2,58.01676648417
Group 2,18.01676648435
Group 2,18.01676648453
Group 2,59.01676648472
Group 2,18.01676648490
Group 2,18.01676648508
Group 2,58.01676648526
Group 2,19.01676648545
Group 2,18.01676648563
Group 2,58.01676648581
Group 2,18.01676648599
Group 2,19.01676648618
Group 2,18.01676648636
Group 2,58.01676648654
Group 2,18.01676648672
Group 2,19.01676648691
Group 2,58.01676648709
Group 2,18.01676648727
Group 2,18.01676648745
