Group,IPERF
Group 1,8.59
Group 1,8.64
Group 1,8.78
Group 1,8.50
Group 1,8.77
Group 1,8.60
Group 1,8.84
Group 1,8.57
Group 1,8.88
Group 1,8.69
Group 1,8.91
Group 1,8.71
Group 1,8.85
Group 1,8.83
Group 1,9.03
Group 1,8.76
Group 1,8.80
Group 1,8.85
Group 1,8.82
Group 1,8.90
Group 1,8.69
Group 1,8.71
Group 1,8.52
Group 1,8.75
Group 1,8.65
Group 1,8.54
Group 1,8.85
Group 1,8.74
Group 1,8.68
Group 1,8.62
Group 2,31.86
Group 2,31.82
Group 2,31.87
Group 2,31.85
Group 2,31.81
Group 2,31.87
Group 2,31.84
Group 2,31.68
Group 2,31.86
Group 2,31.86
Group 2,31.84
Group 2,31.89
Group 2,31.84
Group 2,31.88
Group 2,31.86
Group 2,31.89
Group 2,31.86
Group 2,31.88
Group 2,31.87
Group 2,31.83
Group 2,31.85
Group 2,31.85
Group 2,31.88
Group 2,31.86
Group 2,31.83
Group 2,31.83
Group 2,31.72
Group 2,31.71
Group 2,31.83
Group 2,31.81
