Group,IPERF
Group 1,8.68
Group 1,8.61
Group 1,8.80
Group 1,8.60
Group 1,8.80
Group 1,8.63
Group 1,8.89
Group 1,8.65
Group 1,8.67
Group 1,8.81
Group 1,8.77
Group 1,8.72
Group 1,8.81
Group 1,8.57
Group 1,8.76
Group 1,8.84
Group 1,8.84
Group 1,8.80
Group 1,8.99
Group 1,8.87
Group 1,8.88
Group 1,8.75
Group 1,8.93
Group 1,8.76
Group 1,8.79
Group 1,8.67
Group 1,8.71
Group 1,8.99
Group 1,8.66
Group 1,8.64
Group 2,31.87
Group 2,31.86
Group 2,31.87
Group 2,31.85
Group 2,31.71
Group 2,31.87
Group 2,31.83
Group 2,31.83
Group 2,31.87
Group 2,31.85
Group 2,31.85
Group 2,31.90
Group 2,31.84
Group 2,31.84
Group 2,31.88
Group 2,31.86
Group 2,31.85
Group 2,31.85
Group 2,31.87
Group 2,31.88
Group 2,31.86
Group 2,31.86
Group 2,31.89
Group 2,31.73
Group 2,31.82
Group 2,31.87
Group 2,31.86
Group 2,31.88
Group 2,31.82
Group 2,31.79
