Group,IPERF
Group 1,8.66
Group 1,8.68
Group 1,8.78
Group 1,8.88
Group 1,8.65
Group 1,8.71
Group 1,8.67
Group 1,8.55
Group 1,9.02
Group 1,8.91
Group 1,8.77
Group 1,8.63
Group 1,8.88
Group 1,8.57
Group 1,8.65
Group 1,8.72
Group 1,8.95
Group 1,8.86
Group 1,8.78
Group 1,8.48
Group 1,8.63
Group 1,9.09
Group 1,8.92
Group 1,8.80
Group 1,8.78
Group 1,8.76
Group 1,8.60
Group 1,8.62
Group 1,8.54
Group 1,9.00
Group 2,31.81
Group 2,31.89
Group 2,31.87
Group 2,31.88
Group 2,31.84
Group 2,31.82
Group 2,31.80
Group 2,31.84
Group 2,31.76
Group 2,31.84
Group 2,31.87
Group 2,31.85
Group 2,31.82
Group 2,31.90
Group 2,31.84
Group 2,31.81
Group 2,31.67
Group 2,31.78
Group 2,31.89
Group 2,31.84
Group 2,31.84
Group 2,31.84
Group 2,31.85
Group 2,31.89
Group 2,31.85
Group 2,31.83
Group 2,31.85
Group 2,31.83
Group 2,31.86
Group 2,31.88
