Group,media
Group 1,0.475
Group 1,0.432333
Group 1,0.438
Group 1,0.463333
Group 1,0.405667
Group 1,0.475
Group 1,0.433667
Group 1,0.435667
Group 1,0.42
Group 1,0.431333
Group 2,10.1983
Group 2,10.1983
Group 2,10.204
Group 2,10.1953
Group 2,10.1913
Group 2,10.1953
Group 2,10.198
Group 2,10.1943
Group 2,10.2017
Group 2,10.204
