Group,WGET
Group 2,20.01678200171
Group 2,61.01678200192
Group 2,20.01678200212
Group 2,20.01678200232
Group 2,60.01678200252
Group 2,20.01678200272
Group 2,21.01678200293
Group 2,60.01678200313
Group 2,20.01678200333
Group 2,21.01678200354
Group 2,60.01678200374
Group 2,20.01678200394
Group 2,20.01678200414
Group 2,61.01678200435
Group 2,20.01678200455
Group 2,20.01678200475
Group 2,60.01678200495
Group 2,21.01678200516
Group 2,20.01678200536
Group 2,60.01678200556
Group 2,20.01678200576
Group 2,21.01678200597
Group 2,60.01678200617
Group 2,20.01678200637
Group 2,20.01678200657
Group 2,61.01678200678
Group 2,20.01678200698
Group 2,20.01678200718
Group 2,60.01678200738
Group 2,21.01678200759
