Group,IPERF
Group 1,8.73
Group 1,9.06
Group 1,9.02
Group 1,8.97
Group 1,8.70
Group 1,8.79
Group 1,9.18
Group 1,9.05
Group 1,8.89
Group 1,9.08
Group 1,9.13
Group 1,8.95
Group 1,8.86
Group 1,8.89
Group 1,8.82
Group 1,8.95
Group 1,9.09
Group 1,9.00
Group 1,8.81
Group 1,8.78
Group 1,8.91
Group 1,9.09
Group 1,9.06
Group 1,9.20
Group 1,9.11
Group 1,8.97
Group 1,9.07
Group 1,9.02
Group 1,9.07
Group 1,9.09
Group 2,31.87
Group 2,31.85
Group 2,31.86
Group 2,31.81
Group 2,31.83
Group 2,31.87
Group 2,31.89
Group 2,31.88
Group 2,31.82
Group 2,31.81
Group 2,31.85
Group 2,31.74
Group 2,31.82
Group 2,31.86
Group 2,31.87
Group 2,31.88
Group 2,31.88
Group 2,31.85
Group 2,31.86
Group 2,31.87
Group 2,31.86
Group 2,31.88
Group 2,31.84
Group 2,31.90
Group 2,31.85
Group 2,31.87
Group 2,31.88
Group 2,31.84
Group 2,31.86
Group 2,31.87
