Group,IPERF
Group 1,8.85
Group 1,8.67
Group 1,9.23
Group 1,9.09
Group 1,9.12
Group 1,9.12
Group 1,9.13
Group 1,8.92
Group 1,8.92
Group 1,8.85
Group 1,9.04
Group 1,8.92
Group 1,9.05
Group 1,8.78
Group 1,9.15
Group 1,8.97
Group 1,9.17
Group 1,8.99
Group 1,8.95
Group 1,8.96
Group 1,8.93
Group 1,9.00
Group 1,8.57
Group 1,9.05
Group 1,9.14
Group 1,8.73
Group 1,9.05
Group 1,9.04
Group 1,8.79
Group 1,8.77
Group 2,31.86
Group 2,31.71
Group 2,31.86
Group 2,31.89
Group 2,31.86
Group 2,31.86
Group 2,31.86
Group 2,31.88
Group 2,31.85
Group 2,31.85
Group 2,31.78
Group 2,31.86
Group 2,31.89
Group 2,31.84
Group 2,31.74
Group 2,31.87
Group 2,31.82
Group 2,31.84
Group 2,31.87
Group 2,31.89
Group 2,31.84
Group 2,31.87
Group 2,31.88
Group 2,31.82
Group 2,31.88
Group 2,31.84
Group 2,31.88
Group 2,31.87
Group 2,31.87
Group 2,31.86
