Group,CURL
Group 2,020.636
Group 2,020.631
Group 2,020.603
Group 2,020.649
Group 2,020.610
Group 2,020.608
Group 2,020.619
Group 2,020.648
Group 2,020.639
Group 2,020.633
Group 2,020.574
Group 2,020.615
Group 2,020.595
Group 2,020.572
Group 2,020.723
Group 2,020.582
Group 2,020.619
Group 2,020.621
Group 2,020.600
Group 2,020.625
Group 2,020.622
Group 2,020.592
Group 2,020.623
Group 2,020.608
Group 2,020.602
Group 2,020.639
Group 2,020.624
Group 2,020.607
Group 2,020.635
Group 2,020.600
