Group,PING
Group 2,18.01677704366
Group 2,17.01677704383
Group 2,4058.01677704401
Group 2,17.01677704418
Group 2,17.01677704435
Group 2,18.01677704453
Group 2,57.01677704470
Group 2,18.01677704488
Group 2,17.01677704505
Group 2,57.01677704522
Group 2,18.01677704540
Group 2,17.01677704557
Group 2,18.01677704575
Group 2,57.01677704592
Group 2,18.01677704610
Group 2,17.01677704627
Group 2,57.01677704644
Group 2,18.01677704662
Group 2,17.01677704679
Group 2,18.01677704697
Group 2,57.01677704714
Group 2,17.01677704731
Group 2,17.01677704749
Group 2,57.01677704766
Group 2,18.01677704784
Group 2,17.01677704801
Group 2,18.01677704819
Group 2,57.01677704836
Group 2,17.01677704853
Group 2,18.01677704871
