Group,PING
Group 2,18.01677702750
Group 2,18.01677702768
Group 2,58.01677702786
Group 2,18.01677702805
Group 2,18.01677702823
Group 2,58.01677702841
Group 2,18.01677702859
Group 2,19.01677702878
Group 2,18.01677702896
Group 2,58.01677702914
Group 2,18.01677702932
Group 2,19.01677702951
Group 2,58.01677702969
Group 2,18.01677702987
Group 2,18.01677703005
Group 2,59.01677703024
Group 2,18.01677703042
Group 2,18.01677703060
Group 2,18.01677703078
Group 2,59.01677703097
Group 2,18.01677703115
Group 2,18.01677703133
Group 2,58.01677703151
Group 2,19.01677703170
Group 2,18.01677703188
Group 2,58.01677703206
Group 2,18.01677703224
Group 2,18.01677703242
Group 2,59.01677703261
Group 2,18.01677703279
