Group,APT
Group 2,11.01678211748
Group 2,11.01678211759
Group 2,50.01678211769
Group 2,11.01678211780
Group 2,10.01678211790
Group 2,11.01678211801
Group 2,11.01678211812
Group 2,50.01678211822
Group 2,11.01678211833
Group 2,10.01678211843
Group 2,11.01678211854
Group 2,11.01678211865
Group 2,10.01678211875
Group 2,51.01678211886
Group 2,10.01678211896
Group 2,11.01678211907
Group 2,11.01678211918
Group 2,10.01678211928
Group 2,11.01678211939
Group 2,51.01678211950
Group 2,10.01678211960
Group 2,11.01678211971
Group 2,10.01678211981
Group 2,11.01678211992
Group 2,4051.01678212003
Group 2,10.01678212013
Group 2,11.01678212024
Group 2,10.01678212034
Group 2,11.01678212045
Group 2,11.01678212056
