Data,Group,Nome_POD,APT
07-03-2023,Group 2,db-684b9b49fd-75jjw,202.01678204241
07-03-2023,Group 2,db-684b9b49fd-75jjw,201.01678204362
07-03-2023,Group 2,db-684b9b49fd-75jjw,202.01678204484
07-03-2023,Group 2,db-684b9b49fd-75jjw,201.01678204605
07-03-2023,Group 2,db-684b9b49fd-75jjw,202.01678204727
07-03-2023,Group 2,db-684b9b49fd-75jjw,4201.01678204848
07-03-2023,Group 2,db-684b9b49fd-75jjw,202.01678204970
07-03-2023,Group 2,db-684b9b49fd-75jjw,202.01678205092
07-03-2023,Group 2,db-684b9b49fd-75jjw,201.01678205213
07-03-2023,Group 2,db-684b9b49fd-75jjw,202.01678205335
07-03-2023,Group 2,db-684b9b49fd-75jjw,201.01678205456
07-03-2023,Group 2,db-684b9b49fd-75jjw,202.01678205578
07-03-2023,Group 2,db-684b9b49fd-75jjw,201.01678205699
07-03-2023,Group 2,db-684b9b49fd-75jjw,242.01678205821
07-03-2023,Group 2,db-684b9b49fd-75jjw,202.01678205943
07-03-2023,Group 2,db-684b9b49fd-75jjw,201.01678206064
07-03-2023,Group 2,db-684b9b49fd-75jjw,202.01678206186
07-03-2023,Group 2,db-684b9b49fd-75jjw,201.01678206307
07-03-2023,Group 2,db-684b9b49fd-75jjw,202.01678206429
07-03-2023,Group 2,db-684b9b49fd-75jjw,202.01678206551
07-03-2023,Group 2,db-684b9b49fd-75jjw,201.01678206672
07-03-2023,Group 2,db-684b9b49fd-75jjw,202.01678206794
07-03-2023,Group 2,db-684b9b49fd-75jjw,201.01678206915
07-03-2023,Group 2,db-684b9b49fd-75jjw,202.01678207037
07-03-2023,Group 2,db-684b9b49fd-75jjw,202.01678207159
07-03-2023,Group 2,db-684b9b49fd-75jjw,201.01678207280
07-03-2023,Group 2,db-684b9b49fd-75jjw,202.01678207402
07-03-2023,Group 2,db-684b9b49fd-75jjw,201.01678207523
07-03-2023,Group 2,db-684b9b49fd-75jjw,202.01678207645
07-03-2023,Group 2,db-684b9b49fd-75jjw,201.01678207766
07-03-2023,Group 2,redis-67db9bd79b-msprv,11.01678207777
07-03-2023,Group 2,redis-67db9bd79b-msprv,11.01678207788
07-03-2023,Group 2,redis-67db9bd79b-msprv,11.01678207799
07-03-2023,Group 2,redis-67db9bd79b-msprv,51.01678207810
07-03-2023,Group 2,redis-67db9bd79b-msprv,11.01678207821
07-03-2023,Group 2,redis-67db9bd79b-msprv,10.01678207831
07-03-2023,Group 2,redis-67db9bd79b-msprv,11.01678207842
07-03-2023,Group 2,redis-67db9bd79b-msprv,11.01678207853
07-03-2023,Group 2,redis-67db9bd79b-msprv,51.01678207864
07-03-2023,Group 2,redis-67db9bd79b-msprv,11.01678207875
07-03-2023,Group 2,redis-67db9bd79b-msprv,10.01678207885
07-03-2023,Group 2,redis-67db9bd79b-msprv,11.01678207896
07-03-2023,Group 2,redis-67db9bd79b-msprv,11.01678207907
07-03-2023,Group 2,redis-67db9bd79b-msprv,11.01678207918
07-03-2023,Group 2,redis-67db9bd79b-msprv,51.01678207929
07-03-2023,Group 2,redis-67db9bd79b-msprv,10.01678207939
07-03-2023,Group 2,redis-67db9bd79b-msprv,11.01678207950
07-03-2023,Group 2,redis-67db9bd79b-msprv,11.01678207961
07-03-2023,Group 2,redis-67db9bd79b-msprv,11.01678207972
07-03-2023,Group 2,redis-67db9bd79b-msprv,51.01678207983
07-03-2023,Group 2,redis-67db9bd79b-msprv,10.01678207993
07-03-2023,Group 2,redis-67db9bd79b-msprv,11.01678208004
07-03-2023,Group 2,redis-67db9bd79b-msprv,11.01678208015
07-03-2023,Group 2,redis-67db9bd79b-msprv,11.01678208026
07-03-2023,Group 2,redis-67db9bd79b-msprv,11.01678208037
07-03-2023,Group 2,redis-67db9bd79b-msprv,50.01678208047
07-03-2023,Group 2,redis-67db9bd79b-msprv,11.01678208058
07-03-2023,Group 2,redis-67db9bd79b-msprv,11.01678208069
07-03-2023,Group 2,redis-67db9bd79b-msprv,11.01678208080
07-03-2023,Group 2,redis-67db9bd79b-msprv,11.01678208091
07-03-2023,Group 2,result-77f68799c4-tkqx9,201.01678208212
07-03-2023,Group 2,result-77f68799c4-tkqx9,202.01678208334
07-03-2023,Group 2,result-77f68799c4-tkqx9,4201.01678208455
07-03-2023,Group 2,result-77f68799c4-tkqx9,202.01678208577
07-03-2023,Group 2,result-77f68799c4-tkqx9,202.01678208699
07-03-2023,Group 2,result-77f68799c4-tkqx9,241.01678208820
07-03-2023,Group 2,result-77f68799c4-tkqx9,202.01678208942
07-03-2023,Group 2,result-77f68799c4-tkqx9,201.01678209063
07-03-2023,Group 2,result-77f68799c4-tkqx9,202.01678209185
07-03-2023,Group 2,result-77f68799c4-tkqx9,201.01678209306
07-03-2023,Group 2,result-77f68799c4-tkqx9,202.01678209428
07-03-2023,Group 2,result-77f68799c4-tkqx9,201.01678209549
07-03-2023,Group 2,result-77f68799c4-tkqx9,202.01678209671
07-03-2023,Group 2,result-77f68799c4-tkqx9,201.01678209792
07-03-2023,Group 2,result-77f68799c4-tkqx9,202.01678209914
07-03-2023,Group 2,result-77f68799c4-tkqx9,201.01678210035
07-03-2023,Group 2,result-77f68799c4-tkqx9,202.01678210157
07-03-2023,Group 2,result-77f68799c4-tkqx9,202.01678210279
07-03-2023,Group 2,result-77f68799c4-tkqx9,201.01678210400
07-03-2023,Group 2,result-77f68799c4-tkqx9,202.01678210522
07-03-2023,Group 2,result-77f68799c4-tkqx9,201.01678210643
07-03-2023,Group 2,result-77f68799c4-tkqx9,202.01678210765
07-03-2023,Group 2,result-77f68799c4-tkqx9,202.01678210887
07-03-2023,Group 2,result-77f68799c4-tkqx9,201.01678211008
07-03-2023,Group 2,result-77f68799c4-tkqx9,202.01678211130
07-03-2023,Group 2,result-77f68799c4-tkqx9,201.01678211251
07-03-2023,Group 2,result-77f68799c4-tkqx9,202.01678211373
07-03-2023,Group 2,result-77f68799c4-tkqx9,201.01678211494
07-03-2023,Group 2,result-77f68799c4-tkqx9,202.01678211616
07-03-2023,Group 2,result-77f68799c4-tkqx9,201.01678211737
07-03-2023,Group 2,vote-79787c6c8b-hdd92,11.01678211748
07-03-2023,Group 2,vote-79787c6c8b-hdd92,11.01678211759
07-03-2023,Group 2,vote-79787c6c8b-hdd92,50.01678211769
07-03-2023,Group 2,vote-79787c6c8b-hdd92,11.01678211780
07-03-2023,Group 2,vote-79787c6c8b-hdd92,10.01678211790
07-03-2023,Group 2,vote-79787c6c8b-hdd92,11.01678211801
07-03-2023,Group 2,vote-79787c6c8b-hdd92,11.01678211812
07-03-2023,Group 2,vote-79787c6c8b-hdd92,50.01678211822
07-03-2023,Group 2,vote-79787c6c8b-hdd92,11.01678211833
07-03-2023,Group 2,vote-79787c6c8b-hdd92,10.01678211843
07-03-2023,Group 2,vote-79787c6c8b-hdd92,11.01678211854
07-03-2023,Group 2,vote-79787c6c8b-hdd92,11.01678211865
07-03-2023,Group 2,vote-79787c6c8b-hdd92,10.01678211875
07-03-2023,Group 2,vote-79787c6c8b-hdd92,51.01678211886
07-03-2023,Group 2,vote-79787c6c8b-hdd92,10.01678211896
07-03-2023,Group 2,vote-79787c6c8b-hdd92,11.01678211907
07-03-2023,Group 2,vote-79787c6c8b-hdd92,11.01678211918
07-03-2023,Group 2,vote-79787c6c8b-hdd92,10.01678211928
07-03-2023,Group 2,vote-79787c6c8b-hdd92,11.01678211939
07-03-2023,Group 2,vote-79787c6c8b-hdd92,51.01678211950
07-03-2023,Group 2,vote-79787c6c8b-hdd92,10.01678211960
07-03-2023,Group 2,vote-79787c6c8b-hdd92,11.01678211971
07-03-2023,Group 2,vote-79787c6c8b-hdd92,10.01678211981
07-03-2023,Group 2,vote-79787c6c8b-hdd92,11.01678211992
07-03-2023,Group 2,vote-79787c6c8b-hdd92,4051.01678212003
07-03-2023,Group 2,vote-79787c6c8b-hdd92,10.01678212013
07-03-2023,Group 2,vote-79787c6c8b-hdd92,11.01678212024
07-03-2023,Group 2,vote-79787c6c8b-hdd92,10.01678212034
07-03-2023,Group 2,vote-79787c6c8b-hdd92,11.01678212045
07-03-2023,Group 2,vote-79787c6c8b-hdd92,11.01678212056
07-03-2023,Group 2,worker-78b9ff59fc-bnftj,2.01678212058
07-03-2023,Group 2,worker-78b9ff59fc-bnftj,42.01678212060
07-03-2023,Group 2,worker-78b9ff59fc-bnftj,2.01678212062
07-03-2023,Group 2,worker-78b9ff59fc-bnftj,1.01678212063
07-03-2023,Group 2,worker-78b9ff59fc-bnftj,2.01678212065
07-03-2023,Group 2,worker-78b9ff59fc-bnftj,2.01678212067
07-03-2023,Group 2,worker-78b9ff59fc-bnftj,2.01678212069
07-03-2023,Group 2,worker-78b9ff59fc-bnftj,2.01678212071
07-03-2023,Group 2,worker-78b9ff59fc-bnftj,2.01678212073
07-03-2023,Group 2,worker-78b9ff59fc-bnftj,2.01678212075
07-03-2023,Group 2,worker-78b9ff59fc-bnftj,2.01678212077
07-03-2023,Group 2,worker-78b9ff59fc-bnftj,2.01678212079
07-03-2023,Group 2,worker-78b9ff59fc-bnftj,2.01678212081
07-03-2023,Group 2,worker-78b9ff59fc-bnftj,2.01678212083
07-03-2023,Group 2,worker-78b9ff59fc-bnftj,2.01678212085
07-03-2023,Group 2,worker-78b9ff59fc-bnftj,2.01678212087
07-03-2023,Group 2,worker-78b9ff59fc-bnftj,2.01678212089
07-03-2023,Group 2,worker-78b9ff59fc-bnftj,2.01678212091
07-03-2023,Group 2,worker-78b9ff59fc-bnftj,1.01678212092
07-03-2023,Group 2,worker-78b9ff59fc-bnftj,2.01678212094
07-03-2023,Group 2,worker-78b9ff59fc-bnftj,2.01678212096
07-03-2023,Group 2,worker-78b9ff59fc-bnftj,2.01678212098
07-03-2023,Group 2,worker-78b9ff59fc-bnftj,2.01678212100
07-03-2023,Group 2,worker-78b9ff59fc-bnftj,2.01678212102
07-03-2023,Group 2,worker-78b9ff59fc-bnftj,2.01678212104
07-03-2023,Group 2,worker-78b9ff59fc-bnftj,2.01678212106
07-03-2023,Group 2,worker-78b9ff59fc-bnftj,2.01678212108
07-03-2023,Group 2,worker-78b9ff59fc-bnftj,2.01678212110
07-03-2023,Group 2,worker-78b9ff59fc-bnftj,2.01678212112
07-03-2023,Group 2,worker-78b9ff59fc-bnftj,2.01678212114
