Group,PING
Group 2,57.01677973447
Group 2,17.01677973464
Group 2,18.01677973482
Group 2,17.01677973499
Group 2,58.01677973517
Group 2,17.01677973534
Group 2,18.01677973552
Group 2,57.01677973569
Group 2,17.01677973586
Group 2,18.01677973604
Group 2,57.01677973621
Group 2,18.01677973639
Group 2,17.01677973656
Group 2,17.01677973673
Group 2,58.01677973691
Group 2,17.01677973708
Group 2,17.01677973726
Group 2,57.01677973743
Group 2,17.01677973760
Group 2,18.01677973778
Group 2,17.01677973795
Group 2,57.01677973812
Group 2,18.01677973830
Group 2,17.01677973847
Group 2,58.01677973865
Group 2,17.01677973882
Group 2,17.01677973899
Group 2,18.01677973917
Group 2,57.01677973934
Group 2,18.01677973952
