Group,PING
Group 2,17.01677974516
Group 2,57.01677974533
Group 2,17.01677974551
Group 2,17.01677974568
Group 2,58.01677974586
Group 2,17.01677974603
Group 2,17.01677974620
Group 2,18.01677974638
Group 2,57.01677974655
Group 2,18.01677974673
Group 2,17.01677974690
Group 2,58.01677974708
Group 2,17.01677974725
Group 2,18.01677974743
Group 2,57.01677974760
Group 2,17.01677974777
Group 2,18.01677974795
Group 2,17.01677974812
Group 2,57.01677974829
Group 2,18.01677974847
Group 2,17.01677974864
Group 2,58.01677974882
Group 2,17.01677974899
Group 2,17.01677974916
Group 2,18.01677974934
Group 2,57.01677974951
Group 2,18.01677974969
Group 2,17.01677974986
Group 2,57.01677975003
Group 2,18.01677975021
