Group,PING
Group 1,48.01678116184
Group 1,7.01678116191
Group 1,7.01678116198
Group 1,8.01678116206
Group 1,7.01678116213
Group 1,7.01678116220
Group 1,8.01678116228
Group 1,7.01678116235
Group 1,48.01678116243
Group 1,7.01678116250
Group 1,7.01678116257
Group 1,8.01678116265
Group 1,7.01678116272
Group 1,7.01678116279
Group 1,8.01678116287
Group 1,7.01678116294
Group 1,47.01678116301
Group 1,7.01678116309
Group 1,7.01678116316
Group 1,8.01678116324
Group 1,7.01678116331
Group 1,7.01678116338
Group 1,8.01678116346
Group 1,7.01678116353
Group 1,47.01678116360
Group 1,8.01678116368
Group 1,7.01678116375
Group 1,8.01678116383
Group 1,7.01678116390
Group 1,7.01678116397
Group 2,18.01678122138
Group 2,17.01678122155
Group 2,18.01678122173
Group 2,57.01678122190
Group 2,17.01678122207
Group 2,18.01678122225
Group 2,57.01678122242
Group 2,18.01678122260
Group 2,17.01678122277
Group 2,17.01678122294
Group 2,58.01678122312
Group 2,17.01678122329
Group 2,17.01678122346
Group 2,57.01678122364
Group 2,17.01678122381
Group 2,18.01678122399
Group 2,17.01678122416
Group 2,58.01678122434
Group 2,17.01678122451
Group 2,17.01678122468
Group 2,58.01678122486
Group 2,17.01678122503
Group 2,18.01678122521
Group 2,17.01678122538
Group 2,57.01678122555
Group 2,18.01678122573
Group 2,17.01678122590
Group 2,58.01678122608
Group 2,17.01678122625
Group 2,18.01678122643
