Group,media
Group 1,84.3834
Group 1,2.25011
Group 1,0.516774
Group 1,0.483442
Group 1,0.21678
Group 1,1.81677
Group 1,0.516781
Group 1,0.516777
Group 1,1.85012
Group 1,0.516776
Group 2,33.6168
Group 2,166.95
Group 2,33.5501
Group 2,33.5834
Group 2,166.95
Group 2,34.8501
Group 2,33.5834
Group 2,33.6168
Group 2,33.5834
