Group,PING
Group 2,18.01677459571
Group 2,18.01677459589
Group 2,4058.01677459607
Group 2,19.01677459626
Group 2,18.01677459644
Group 2,58.01677459662
Group 2,18.01677459680
Group 2,19.01677459699
Group 2,18.01677459717
Group 2,58.01677459735
Group 2,18.01677459753
Group 2,18.01677459771
Group 2,59.01677459790
Group 2,18.01677459808
Group 2,18.01677459826
Group 2,58.01677459844
Group 2,19.01677459863
Group 2,18.01677459881
Group 2,18.01677459899
Group 2,58.01677459917
Group 2,19.01677459936
Group 2,18.01677459954
Group 2,58.01677459972
Group 2,18.01677459990
Group 2,19.01677460009
Group 2,58.01677460027
Group 2,18.01677460045
Group 2,18.01677460063
Group 2,58.01677460081
Group 2,19.01677460100
