Group,PING
Group 2,4058.01677610816
Group 2,18.01677610834
Group 2,19.01677610853
Group 2,58.01677610871
Group 2,18.01677610889
Group 2,19.01677610908
Group 2,58.01677610926
Group 2,18.01677610944
Group 2,18.01677610962
Group 2,59.01677610981
Group 2,18.01677610999
Group 2,18.01677611017
Group 2,18.01677611035
Group 2,58.01677611053
Group 2,19.01677611072
Group 2,18.01677611090
Group 2,58.01677611108
Group 2,18.01677611126
Group 2,19.01677611145
Group 2,58.01677611163
Group 2,18.01677611181
Group 2,18.01677611199
Group 2,19.01677611218
Group 2,58.01677611236
Group 2,18.01677611254
Group 2,18.01677611272
Group 2,59.01677611291
Group 2,18.01677611309
Group 2,18.01677611327
Group 2,58.01677611345
