Group,PING
Group 2,58.01677612433
Group 2,17.01677612450
Group 2,18.01677612468
Group 2,57.01677612485
Group 2,17.01677612502
Group 2,18.01677612520
Group 2,17.01677612537
Group 2,58.01677612555
Group 2,17.01677612572
Group 2,18.01677612590
Group 2,57.01677612607
Group 2,17.01677612624
Group 2,18.01677612642
Group 2,17.01677612659
Group 2,58.01677612677
Group 2,17.01677612694
Group 2,18.01677612712
Group 2,57.01677612729
Group 2,17.01677612746
Group 2,18.01677612764
Group 2,57.01677612781
Group 2,18.01677612799
Group 2,17.01677612816
Group 2,17.01677612833
Group 2,58.01677612851
Group 2,17.01677612868
Group 2,18.01677612886
Group 2,57.01677612903
Group 2,17.01677612920
Group 2,18.01677612938
