Group,PING
Group 2,59.01678121592
Group 2,18.01678121610
Group 2,18.01678121628
Group 2,58.01678121646
Group 2,18.01678121664
Group 2,19.01678121683
Group 2,58.01678121701
Group 2,18.01678121719
Group 2,18.01678121737
Group 2,19.01678121756
Group 2,58.01678121774
Group 2,18.01678121792
Group 2,18.01678121810
Group 2,59.01678121829
Group 2,18.01678121847
Group 2,18.01678121865
Group 2,58.01678121883
Group 2,19.01678121902
Group 2,18.01678121920
Group 2,18.01678121938
Group 2,58.01678121956
Group 2,19.01678121975
Group 2,18.01678121993
Group 2,4058.01678122011
Group 2,18.01678122029
Group 2,19.01678122048
Group 2,58.01678122066
Group 2,18.01678122084
Group 2,18.01678122102
Group 2,58.01678122120
