Group,PING
Group 2,18.01678120522
Group 2,19.01678120541
Group 2,18.01678120559
Group 2,58.01678120577
Group 2,18.01678120595
Group 2,19.01678120614
Group 2,58.01678120632
Group 2,18.01678120650
Group 2,18.01678120668
Group 2,58.01678120686
Group 2,19.01678120705
Group 2,18.01678120723
Group 2,58.01678120741
Group 2,19.01678120760
Group 2,18.01678120778
Group 2,18.01678120796
Group 2,58.01678120814
Group 2,18.01678120832
Group 2,19.01678120851
Group 2,58.01678120869
Group 2,18.01678120887
Group 2,18.01678120905
Group 2,59.01678120924
Group 2,18.01678120942
Group 2,18.01678120960
Group 2,18.01678120978
Group 2,59.01678120997
Group 2,18.01678121015
Group 2,18.01678121033
Group 2,58.01678121051
