Group,APT
Group 1,11.01677956063
Group 1,10.01677956073
Group 1,11.01677956084
Group 1,10.01677956094
Group 1,51.01677956105
Group 1,11.01677956116
Group 1,10.01677956126
Group 1,11.01677956137
Group 1,10.01677956147
Group 1,11.01677956158
Group 1,51.01677956169
Group 1,10.01677956179
Group 1,11.01677956190
Group 1,10.01677956200
Group 1,11.01677956211
Group 1,51.01677956222
Group 1,10.01677956232
Group 1,11.01677956243
Group 1,10.01677956253
Group 1,10.01677956264
Group 1,11.01677956275
Group 1,50.01677956285
Group 1,11.01677956296
Group 1,10.01677956306
Group 1,11.01677956317
Group 1,11.01677956328
Group 1,10.01677956338
Group 1,51.01677956349
Group 1,10.01677956359
Group 1,11.01677956370
Group 2,10.01677967880
Group 2,11.01677967891
Group 2,11.01677967902
Group 2,10.01677967912
Group 2,51.01677967923
Group 2,10.01677967933
Group 2,11.01677967944
Group 2,10.01677967954
Group 2,11.01677967965
Group 2,11.01677967976
Group 2,50.01677967986
Group 2,11.01677967997
Group 2,10.01677968007
Group 2,11.01677968018
Group 2,11.01677968029
Group 2,10.01677968039
Group 2,51.01677968050
Group 2,11.01677968061
Group 2,10.01677968071
Group 2,11.01677968082
Group 2,10.01677968092
Group 2,51.01677968103
Group 2,11.01677968114
Group 2,10.01677968124
Group 2,11.01677968135
Group 2,10.01677968145
Group 2,11.01677968156
Group 2,51.01677968167
Group 2,10.01677968177
Group 2,11.01677968188
