Group,APT
Group 1,1.87
Group 1,0.81
Group 1,0.90
Group 1,0.97
Group 1,0.82
Group 1,0.81
Group 1,0.93
Group 1,1.05
Group 1,1.25
Group 1,0.91
Group 1,0.79
Group 1,0.89
Group 1,0.93
Group 1,0.84
Group 1,0.90
Group 1,0.80
Group 1,0.88
Group 1,1.26
Group 1,0.87
Group 1,0.94
Group 1,0.95
Group 1,0.91
Group 1,1.18
Group 1,0.74
Group 1,0.74
Group 1,0.82
Group 1,0.78
Group 1,0.74
Group 1,0.77
Group 1,0.74
Group 2,10.42
Group 2,10.41
Group 2,10.37
Group 2,10.41
Group 2,10.37
Group 2,10.38
Group 2,10.38
Group 2,10.38
Group 2,10.37
Group 2,10.37
Group 2,10.44
Group 2,10.39
Group 2,10.45
Group 2,10.39
Group 2,10.38
Group 2,10.39
Group 2,10.55
Group 2,10.38
Group 2,10.39
Group 2,10.39
Group 2,10.40
Group 2,10.37
Group 2,10.38
Group 2,10.38
Group 2,10.36
Group 2,10.42
Group 2,10.40
Group 2,10.41
Group 2,10.37
Group 2,10.37
