Group,APT
Group 1,3.01677454769
Group 1,2.01677454771
Group 1,2.01677454773
Group 1,1.01677454774
Group 1,2.01677454776
Group 1,2.01677454778
Group 1,2.01677454780
Group 1,2.01677454782
Group 1,2.01677454784
Group 1,2.01677454786
Group 1,2.01677454788
Group 1,2.01677454790
Group 1,2.01677454792
Group 1,2.01677454794
Group 1,2.01677454796
Group 1,2.01677454798
Group 1,42.01677454800
Group 1,2.01677454802
Group 1,1.01677454803
Group 1,2.01677454805
Group 1,2.01677454807
Group 1,2.01677454809
Group 1,2.01677454811
Group 1,2.01677454813
Group 1,2.01677454815
Group 1,2.01677454817
Group 1,2.01677454819
Group 1,2.01677454821
Group 1,2.01677454823
Group 1,2.01677454825
