Group,WGET
Group 1,00.32
Group 1,00.30
Group 1,00.30
Group 1,00.31
Group 1,00.31
Group 1,00.28
Group 1,00.30
Group 1,00.29
Group 1,00.32
Group 1,00.29
Group 1,00.28
Group 1,00.29
Group 1,00.30
Group 1,00.31
Group 1,00.34
Group 1,00.37
Group 1,00.27
Group 1,00.29
Group 1,00.29
Group 1,00.53
Group 1,00.30
Group 1,00.28
Group 1,00.27
Group 1,00.32
Group 1,00.30
Group 1,00.29
Group 1,00.31
Group 1,00.29
Group 1,00.30
Group 1,00.34
Group 2,05.02
Group 2,05.02
Group 2,05.02
Group 2,05.03
Group 2,05.02
Group 2,05.02
Group 2,05.02
Group 2,05.02
Group 2,05.02
Group 2,05.02
Group 2,05.02
Group 2,05.02
Group 2,05.02
Group 2,05.01
Group 2,05.02
Group 2,05.02
Group 2,05.02
Group 2,05.02
Group 2,05.02
Group 2,05.02
Group 2,05.03
Group 2,05.02
Group 2,05.02
Group 2,05.02
Group 2,05.02
Group 2,05.02
Group 2,05.02
Group 2,05.02
Group 2,05.02
Group 2,05.02
