Group,PING
Group 2,57.01678202288
Group 2,17.01678202305
Group 2,18.01678202323
Group 2,57.01678202340
Group 2,17.01678202357
Group 2,18.01678202375
Group 2,17.01678202392
Group 2,58.01678202410
Group 2,17.01678202427
Group 2,17.01678202444
Group 2,58.01678202462
Group 2,17.01678202479
Group 2,18.01678202497
Group 2,17.01678202514
Group 2,57.01678202531
Group 2,18.01678202549
Group 2,17.01678202566
Group 2,58.01678202584
Group 2,17.01678202601
Group 2,18.01678202619
Group 2,17.01678202636
Group 2,57.01678202653
Group 2,18.01678202671
Group 2,17.01678202688
Group 2,58.01678202706
Group 2,17.01678202723
Group 2,17.01678202740
Group 2,18.01678202758
Group 2,57.01678202775
Group 2,18.01678202793
