Group,PING
Group 2,59.01678201742
Group 2,18.01678201760
Group 2,18.01678201778
Group 2,18.01678201796
Group 2,59.01678201815
Group 2,18.01678201833
Group 2,18.01678201851
Group 2,58.01678201869
Group 2,19.01678201888
Group 2,18.01678201906
Group 2,58.01678201924
Group 2,18.01678201942
Group 2,18.01678201960
Group 2,19.01678201979
Group 2,58.01678201997
Group 2,18.01678202015
Group 2,18.01678202033
Group 2,59.01678202052
Group 2,18.01678202070
Group 2,18.01678202088
Group 2,58.01678202106
Group 2,19.01678202125
Group 2,18.01678202143
Group 2,58.01678202161
Group 2,18.01678202179
Group 2,19.01678202198
Group 2,18.01678202216
Group 2,58.01678202234
Group 2,18.01678202252
Group 2,19.01678202271
