Group,media
Group 1,7.009
Group 1,7.009
Group 1,7.00833
Group 1,7.00733
Group 1,7.009
Group 1,7.00667
Group 1,7.00833
Group 1,7.007
Group 1,7.007
Group 1,7.00767
Group 2,18.019
Group 2,18.016
Group 2,18.017
Group 2,18.018
Group 2,18.015
Group 2,18.0167
Group 2,18.017
Group 2,18.0167
Group 2,18.019
Group 2,18.0167
