Group,IPERF
Group 1,8.82
Group 1,9.03
Group 1,9.14
Group 1,9.17
Group 1,9.28
Group 1,8.87
Group 1,9.08
Group 1,8.70
Group 1,8.79
Group 1,9.06
Group 1,9.13
Group 1,9.08
Group 1,9.06
Group 1,9.22
Group 1,8.83
Group 1,9.03
Group 1,8.72
Group 1,9.07
Group 1,9.11
Group 1,9.03
Group 1,9.00
Group 1,9.32
Group 1,8.87
Group 1,9.15
Group 1,9.12
Group 1,9.09
Group 1,8.89
Group 1,9.02
Group 1,8.91
Group 1,9.33
Group 2,31.86
Group 2,31.87
Group 2,31.82
Group 2,31.87
Group 2,31.82
Group 2,31.85
Group 2,31.86
Group 2,31.75
Group 2,31.73
Group 2,31.85
Group 2,31.79
Group 2,31.86
Group 2,31.86
Group 2,31.87
Group 2,31.90
Group 2,31.84
Group 2,31.87
Group 2,31.84
Group 2,31.84
Group 2,31.84
Group 2,31.86
Group 2,31.87
Group 2,31.85
Group 2,31.88
Group 2,31.87
Group 2,31.88
Group 2,31.73
Group 2,31.82
Group 2,31.87
Group 2,31.85
