Group,APT
Group 2,51.01678126808
Group 2,11.01678126819
Group 2,11.01678126830
Group 2,10.01678126840
Group 2,11.01678126851
Group 2,51.01678126862
Group 2,11.01678126873
Group 2,11.01678126884
Group 2,10.01678126894
Group 2,11.01678126905
Group 2,11.01678126916
Group 2,51.01678126927
Group 2,11.01678126938
Group 2,10.01678126948
Group 2,11.01678126959
Group 2,11.01678126970
Group 2,51.01678126981
Group 2,11.01678126992
Group 2,10.01678127002
Group 2,11.01678127013
Group 2,11.01678127024
Group 2,11.01678127035
Group 2,51.01678127046
Group 2,11.01678127057
Group 2,10.01678127067
Group 2,11.01678127078
Group 2,11.01678127089
Group 2,51.01678127100
Group 2,11.01678127111
Group 2,11.01678127122
