Group,WGET
Group 1,20.01676646697
Group 1,20.01676646717
Group 1,61.01676646738
Group 1,20.01676646758
Group 1,20.01676646778
Group 1,61.01676646799
Group 1,20.01676646819
Group 1,20.01676646839
Group 1,60.01676646859
Group 1,21.01676646880
Group 1,60.01676646900
Group 1,20.01676646920
Group 1,21.01676646941
Group 1,60.01676646961
Group 1,20.01676646981
Group 1,20.01676647001
Group 1,61.01676647022
Group 1,20.01676647042
Group 1,20.01676647062
Group 1,60.01676647082
Group 1,21.01676647103
Group 1,20.01676647123
Group 1,60.01676647143
Group 1,20.01676647163
Group 1,20.01676647184
Group 1,60.01676647204
Group 1,20.01676647224
Group 1,21.01676647245
Group 1,60.01676647265
Group 1,20.01676647285
