Group,WGET
Group 1,21.01676645931
Group 1,60.01676645951
Group 1,20.01676645971
Group 1,20.01676645991
Group 1,4061.01676646012
Group 1,20.01676646032
Group 1,20.01676646052
Group 1,60.01676646072
Group 1,21.01676646093
Group 1,20.01676646113
Group 1,60.01676646133
Group 1,21.01676646154
Group 1,20.01676646174
Group 1,60.01676646194
Group 1,20.01676646214
Group 1,21.01676646235
Group 1,60.01676646255
Group 1,20.01676646275
Group 1,20.01676646295
Group 1,61.01676646316
Group 1,20.01676646336
Group 1,20.01676646356
Group 1,60.01676646376
Group 1,21.01676646397
Group 1,20.01676646417
Group 1,60.01676646437
Group 1,20.01676646457
Group 1,21.01676646478
Group 1,60.01676646498
Group 1,20.01676646518
