Group,IPERF
Group 1,8.91
Group 1,9.11
Group 1,9.18
Group 1,8.87
Group 1,9.13
Group 1,9.12
Group 1,9.16
Group 1,8.93
Group 1,8.87
Group 1,8.93
Group 1,8.93
Group 1,8.98
Group 1,8.96
Group 1,8.36
Group 1,7.94
Group 1,8.62
Group 1,8.94
Group 1,8.79
Group 1,8.86
Group 1,8.89
Group 1,8.98
Group 1,9.05
Group 1,8.98
Group 1,8.93
Group 1,9.02
Group 1,8.81
Group 1,8.85
Group 1,8.81
Group 1,8.86
Group 1,9.03
Group 2,31.85
Group 2,31.87
Group 2,31.87
Group 2,31.87
Group 2,31.88
Group 2,31.86
Group 2,31.87
Group 2,31.87
Group 2,31.88
Group 2,31.87
Group 2,31.84
Group 2,31.75
Group 2,31.89
Group 2,31.88
Group 2,31.83
Group 2,31.89
Group 2,31.88
Group 2,31.86
Group 2,31.86
Group 2,31.86
Group 2,31.86
Group 2,31.85
Group 2,31.85
Group 2,31.87
Group 2,31.87
Group 2,31.88
Group 2,31.88
Group 2,31.87
Group 2,31.72
Group 2,31.88
