Group,PING
Group 2,18.01677437362
Group 2,17.01677437379
Group 2,18.01677437397
Group 2,57.01677437414
Group 2,18.01677437432
Group 2,17.01677437449
Group 2,57.01677437466
Group 2,18.01677437484
Group 2,17.01677437501
Group 2,18.01677437519
Group 2,57.01677437536
Group 2,18.01677437554
Group 2,17.01677437571
Group 2,57.01677437588
Group 2,18.01677437606
Group 2,17.01677437623
Group 2,58.01677437641
Group 2,17.01677437658
Group 2,17.01677437675
Group 2,18.01677437693
Group 2,57.01677437710
Group 2,17.01677437727
Group 2,18.01677437745
Group 2,57.01677437762
Group 2,18.01677437780
Group 2,17.01677437797
Group 2,17.01677437814
Group 2,58.01677437832
Group 2,17.01677437849
Group 2,18.01677437867
