Group,APT
Group 1,1.01678115150
Group 1,2.01678115152
Group 1,1.01678115153
Group 1,1.01678115154
Group 1,1.01678115155
Group 1,1.01678115156
Group 1,1.01678115157
Group 1,1.01678115158
Group 1,42.01678115160
Group 1,1.01678115161
Group 1,1.01678115162
Group 1,1.01678115163
Group 1,1.01678115164
Group 1,1.01678115166
Group 1,1.01678115167
Group 1,1.01678115168
Group 1,1.01678115169
Group 1,1.01678115170
Group 1,2.01678115172
Group 1,1.01678115173
Group 1,1.01678115174
Group 1,1.01678115175
Group 1,1.01678115176
Group 1,1.01678115177
Group 1,1.01678115178
Group 1,2.01678115180
Group 1,1.01678115181
Group 1,1.01678115182
Group 1,1.01678115183
Group 1,2.01678115185
Group 2,51.01678126808
Group 2,11.01678126819
Group 2,11.01678126830
Group 2,10.01678126840
Group 2,11.01678126851
Group 2,51.01678126862
Group 2,11.01678126873
Group 2,11.01678126884
Group 2,10.01678126894
Group 2,11.01678126905
Group 2,11.01678126916
Group 2,51.01678126927
Group 2,11.01678126938
Group 2,10.01678126948
Group 2,11.01678126959
Group 2,11.01678126970
Group 2,51.01678126981
Group 2,11.01678126992
Group 2,10.01678127002
Group 2,11.01678127013
Group 2,11.01678127024
Group 2,11.01678127035
Group 2,51.01678127046
Group 2,11.01678127057
Group 2,10.01678127067
Group 2,11.01678127078
Group 2,11.01678127089
Group 2,51.01678127100
Group 2,11.01678127111
Group 2,11.01678127122
