Group,CURL
Group 2,60.01677357316
Group 2,21.01677357337
Group 2,21.01677357358
Group 2,61.01677357379
Group 2,21.01677357400
Group 2,61.01677357421
Group 2,20.01677357441
Group 2,21.01677357462
Group 2,61.01677357483
Group 2,21.01677357504
Group 2,21.01677357525
Group 2,61.01677357546
Group 2,20.01677357566
Group 2,21.01677357587
Group 2,61.01677357608
Group 2,21.01677357629
Group 2,21.01677357650
Group 2,61.01677357671
Group 2,20.01677357691
Group 2,21.01677357712
Group 2,61.01677357733
Group 2,21.01677357754
Group 2,21.01677357775
Group 2,60.01677357795
Group 2,21.01677357816
Group 2,21.01677357837
Group 2,61.01677357858
Group 2,21.01677357879
Group 2,61.01677357900
Group 2,21.01677357921
