Group,PING
Group 1,7.01678197190
Group 1,8.01678197198
Group 1,7.01678197205
Group 1,7.01678197212
Group 1,8.01678197220
Group 1,7.01678197227
Group 1,7.01678197234
Group 1,48.01678197242
Group 1,7.01678197249
Group 1,8.01678197257
Group 1,7.01678197264
Group 1,7.01678197271
Group 1,8.01678197279
Group 1,7.01678197286
Group 1,7.01678197293
Group 1,48.01678197301
Group 1,7.01678197308
Group 1,8.01678197316
Group 1,7.01678197323
Group 1,7.01678197330
Group 1,8.01678197338
Group 1,7.01678197345
Group 1,7.01678197353
Group 1,47.01678197360
Group 1,7.01678197367
Group 1,8.01678197375
Group 1,7.01678197382
Group 1,7.01678197389
Group 1,8.01678197397
Group 1,7.01678197404
Group 2,57.01678202288
Group 2,17.01678202305
Group 2,18.01678202323
Group 2,57.01678202340
Group 2,17.01678202357
Group 2,18.01678202375
Group 2,17.01678202392
Group 2,58.01678202410
Group 2,17.01678202427
Group 2,17.01678202444
Group 2,58.01678202462
Group 2,17.01678202479
Group 2,18.01678202497
Group 2,17.01678202514
Group 2,57.01678202531
Group 2,18.01678202549
Group 2,17.01678202566
Group 2,58.01678202584
Group 2,17.01678202601
Group 2,18.01678202619
Group 2,17.01678202636
Group 2,57.01678202653
Group 2,18.01678202671
Group 2,17.01678202688
Group 2,58.01678202706
Group 2,17.01678202723
Group 2,17.01678202740
Group 2,18.01678202758
Group 2,57.01678202775
Group 2,18.01678202793
