Group,APT
Group 1,2.01677588704
Group 1,2.01677588706
Group 1,2.01677588708
Group 1,2.01677588710
Group 1,2.01677588712
Group 1,2.01677588714
Group 1,2.01677588716
Group 1,2.01677588718
Group 1,42.01677588720
Group 1,2.01677588722
Group 1,2.01677588724
Group 1,3.01677588727
Group 1,1.01677588728
Group 1,2.01677588730
Group 1,2.01677588732
Group 1,2.01677588734
Group 1,2.01677588736
Group 1,2.01677588738
Group 1,2.01677588740
Group 1,2.01677588742
Group 1,2.01677588744
Group 1,2.01677588746
Group 1,2.01677588748
Group 1,2.01677588750
Group 1,2.01677588752
Group 1,2.01677588754
Group 1,3.01677588757
Group 1,2.01677588759
Group 1,2.01677588761
Group 1,2.01677588763
Group 2,202.01677605788
Group 2,202.01677605910
Group 2,201.01677606031
Group 2,202.01677606153
Group 2,201.01677606274
Group 2,202.01677606396
Group 2,202.01677606518
Group 2,202.01677606640
Group 2,201.01677606761
Group 2,202.01677606883
Group 2,202.01677607005
Group 2,201.01677607126
Group 2,4202.01677607248
Group 2,202.01677607370
Group 2,201.01677607491
Group 2,202.01677607613
Group 2,202.01677607735
Group 2,201.01677607856
Group 2,202.01677607978
Group 2,242.01677608100
Group 2,201.01677608221
Group 2,202.01677608343
Group 2,202.01677608465
Group 2,201.01677608586
Group 2,201.01677608708
Group 2,202.01677608830
Group 2,201.01677608951
Group 2,202.01677609073
Group 2,202.01677609195
Group 2,201.01677609316
