Group,APT
Group 2,11.01677712756
Group 2,10.01677712766
Group 2,11.01677712777
Group 2,11.01677712788
Group 2,10.01677712798
Group 2,51.01677712809
Group 2,10.01677712819
Group 2,11.01677712830
Group 2,11.01677712841
Group 2,10.01677712851
Group 2,51.01677712862
Group 2,11.01677712873
Group 2,10.01677712883
Group 2,11.01677712894
Group 2,10.01677712904
Group 2,11.01677712915
Group 2,51.01677712926
Group 2,10.01677712936
Group 2,11.01677712947
Group 2,10.01677712957
Group 2,11.01677712968
Group 2,11.01677712979
Group 2,50.01677712989
Group 2,11.01677713000
Group 2,11.01677713011
Group 2,10.01677713021
Group 2,11.01677713032
Group 2,50.01677713042
Group 2,11.01677713053
Group 2,11.01677713064
