Group,APT
Group 2,11.01677524894
Group 2,11.01677524905
Group 2,10.01677524915
Group 2,11.01677524926
Group 2,11.01677524937
Group 2,50.01677524947
Group 2,11.01677524958
Group 2,10.01677524968
Group 2,11.01677524979
Group 2,11.01677524990
Group 2,50.01677525000
Group 2,11.01677525011
Group 2,11.01677525022
Group 2,10.01677525032
Group 2,11.01677525043
Group 2,11.01677525054
Group 2,50.01677525064
Group 2,11.01677525075
Group 2,10.01677525085
Group 2,11.01677525096
Group 2,11.01677525107
Group 2,10.01677525117
Group 2,51.01677525128
Group 2,11.01677525139
Group 2,10.01677525149
Group 2,11.01677525160
Group 2,11.01677525171
Group 2,50.01677525181
Group 2,11.01677525192
Group 2,10.01677525202
