Group,APT
Group 2,2.01677525204
Group 2,2.01677525206
Group 2,2.01677525208
Group 2,3.01677525211
Group 2,2.01677525213
Group 2,2.01677525215
Group 2,2.01677525217
Group 2,2.01677525219
Group 2,2.01677525221
Group 2,2.01677525223
Group 2,2.01677525225
Group 2,2.01677525227
Group 2,2.01677525229
Group 2,2.01677525231
Group 2,2.01677525233
Group 2,2.01677525235
Group 2,2.01677525237
Group 2,2.01677525239
Group 2,43.01677525242
Group 2,1.01677525243
Group 2,3.01677525246
Group 2,2.01677525248
Group 2,2.01677525250
Group 2,2.01677525252
Group 2,2.01677525254
Group 2,2.01677525256
Group 2,2.01677525258
Group 2,2.01677525260
Group 2,2.01677525262
Group 2,2.01677525264
