Data,Group,Nome_POD,CURL
17-02-2023,Group 2,db-684b9b49fd-bw6q4,61.01676643496
17-02-2023,Group 2,db-684b9b49fd-bw6q4,21.01676643517
17-02-2023,Group 2,db-684b9b49fd-bw6q4,21.01676643538
17-02-2023,Group 2,db-684b9b49fd-bw6q4,61.01676643559
17-02-2023,Group 2,db-684b9b49fd-bw6q4,20.01676643579
17-02-2023,Group 2,db-684b9b49fd-bw6q4,60.01676643600
17-02-2023,Group 2,db-684b9b49fd-bw6q4,21.01676643621
17-02-2023,Group 2,db-684b9b49fd-bw6q4,21.01676643642
17-02-2023,Group 2,db-684b9b49fd-bw6q4,61.01676643663
17-02-2023,Group 2,db-684b9b49fd-bw6q4,21.01676643684
17-02-2023,Group 2,db-684b9b49fd-bw6q4,21.01676643705
17-02-2023,Group 2,db-684b9b49fd-bw6q4,60.01676643725
17-02-2023,Group 2,db-684b9b49fd-bw6q4,21.01676643746
17-02-2023,Group 2,db-684b9b49fd-bw6q4,20.01676643767
17-02-2023,Group 2,db-684b9b49fd-bw6q4,61.01676643788
17-02-2023,Group 2,db-684b9b49fd-bw6q4,21.01676643809
17-02-2023,Group 2,db-684b9b49fd-bw6q4,21.01676643830
17-02-2023,Group 2,db-684b9b49fd-bw6q4,61.01676643851
17-02-2023,Group 2,db-684b9b49fd-bw6q4,21.01676643872
17-02-2023,Group 2,db-684b9b49fd-bw6q4,21.01676643893
17-02-2023,Group 2,db-684b9b49fd-bw6q4,60.01676643913
17-02-2023,Group 2,db-684b9b49fd-bw6q4,21.01676643934
17-02-2023,Group 2,db-684b9b49fd-bw6q4,21.01676643955
17-02-2023,Group 2,db-684b9b49fd-bw6q4,61.01676643976
17-02-2023,Group 2,db-684b9b49fd-bw6q4,21.01676643997
17-02-2023,Group 2,db-684b9b49fd-bw6q4,21.01676644018
17-02-2023,Group 2,db-684b9b49fd-bw6q4,61.01676644039
17-02-2023,Group 2,db-684b9b49fd-bw6q4,20.01676644059
17-02-2023,Group 2,db-684b9b49fd-bw6q4,61.01676644080
17-02-2023,Group 2,db-684b9b49fd-bw6q4,21.01676644101
17-02-2023,Group 2,redis-67db9bd79b-bhpps,5.01676644106
17-02-2023,Group 2,redis-67db9bd79b-bhpps,6.01676644112
17-02-2023,Group 2,redis-67db9bd79b-bhpps,5.01676644117
17-02-2023,Group 2,redis-67db9bd79b-bhpps,5.01676644122
17-02-2023,Group 2,redis-67db9bd79b-bhpps,5.01676644127
17-02-2023,Group 2,redis-67db9bd79b-bhpps,6.01676644133
17-02-2023,Group 2,redis-67db9bd79b-bhpps,5.01676644138
17-02-2023,Group 2,redis-67db9bd79b-bhpps,45.01676644143
17-02-2023,Group 2,redis-67db9bd79b-bhpps,5.01676644148
17-02-2023,Group 2,redis-67db9bd79b-bhpps,6.01676644154
17-02-2023,Group 2,redis-67db9bd79b-bhpps,5.01676644159
17-02-2023,Group 2,redis-67db9bd79b-bhpps,5.01676644164
17-02-2023,Group 2,redis-67db9bd79b-bhpps,5.01676644169
17-02-2023,Group 2,redis-67db9bd79b-bhpps,6.01676644175
17-02-2023,Group 2,redis-67db9bd79b-bhpps,5.01676644180
17-02-2023,Group 2,redis-67db9bd79b-bhpps,5.01676644185
17-02-2023,Group 2,redis-67db9bd79b-bhpps,5.01676644190
17-02-2023,Group 2,redis-67db9bd79b-bhpps,6.01676644196
17-02-2023,Group 2,redis-67db9bd79b-bhpps,45.01676644201
17-02-2023,Group 2,redis-67db9bd79b-bhpps,5.01676644206
17-02-2023,Group 2,redis-67db9bd79b-bhpps,5.01676644211
17-02-2023,Group 2,redis-67db9bd79b-bhpps,5.01676644216
17-02-2023,Group 2,redis-67db9bd79b-bhpps,5.01676644222
17-02-2023,Group 2,redis-67db9bd79b-bhpps,5.01676644227
17-02-2023,Group 2,redis-67db9bd79b-bhpps,5.01676644232
17-02-2023,Group 2,redis-67db9bd79b-bhpps,5.01676644237
17-02-2023,Group 2,redis-67db9bd79b-bhpps,6.01676644243
17-02-2023,Group 2,redis-67db9bd79b-bhpps,5.01676644248
17-02-2023,Group 2,redis-67db9bd79b-bhpps,5.01676644253
17-02-2023,Group 2,redis-67db9bd79b-bhpps,5.01676644258
17-02-2023,Group 2,result-77f68799c4-2g2gv,61.01676644279
17-02-2023,Group 2,result-77f68799c4-2g2gv,21.01676644300
17-02-2023,Group 2,result-77f68799c4-2g2gv,61.01676644321
17-02-2023,Group 2,result-77f68799c4-2g2gv,21.01676644342
17-02-2023,Group 2,result-77f68799c4-2g2gv,21.01676644363
17-02-2023,Group 2,result-77f68799c4-2g2gv,61.01676644384
17-02-2023,Group 2,result-77f68799c4-2g2gv,21.01676644405
17-02-2023,Group 2,result-77f68799c4-2g2gv,20.01676644425
17-02-2023,Group 2,result-77f68799c4-2g2gv,61.01676644446
17-02-2023,Group 2,result-77f68799c4-2g2gv,21.01676644467
17-02-2023,Group 2,result-77f68799c4-2g2gv,21.01676644488
17-02-2023,Group 2,result-77f68799c4-2g2gv,61.01676644509
17-02-2023,Group 2,result-77f68799c4-2g2gv,21.01676644530
17-02-2023,Group 2,result-77f68799c4-2g2gv,21.01676644551
17-02-2023,Group 2,result-77f68799c4-2g2gv,60.01676644571
17-02-2023,Group 2,result-77f68799c4-2g2gv,21.01676644592
17-02-2023,Group 2,result-77f68799c4-2g2gv,21.01676644613
17-02-2023,Group 2,result-77f68799c4-2g2gv,61.01676644634
17-02-2023,Group 2,result-77f68799c4-2g2gv,21.01676644655
17-02-2023,Group 2,result-77f68799c4-2g2gv,21.01676644676
17-02-2023,Group 2,result-77f68799c4-2g2gv,60.01676644696
17-02-2023,Group 2,result-77f68799c4-2g2gv,21.01676644717
17-02-2023,Group 2,result-77f68799c4-2g2gv,21.01676644738
17-02-2023,Group 2,result-77f68799c4-2g2gv,61.01676644759
17-02-2023,Group 2,result-77f68799c4-2g2gv,21.01676644780
17-02-2023,Group 2,result-77f68799c4-2g2gv,61.01676644801
17-02-2023,Group 2,result-77f68799c4-2g2gv,20.01676644821
17-02-2023,Group 2,result-77f68799c4-2g2gv,21.01676644842
17-02-2023,Group 2,result-77f68799c4-2g2gv,61.01676644863
17-02-2023,Group 2,result-77f68799c4-2g2gv,21.01676644884
17-02-2023,Group 2,vote-79787c6c8b-tk4cn,5.01676644889
17-02-2023,Group 2,vote-79787c6c8b-tk4cn,6.01676644895
17-02-2023,Group 2,vote-79787c6c8b-tk4cn,5.01676644900
17-02-2023,Group 2,vote-79787c6c8b-tk4cn,5.01676644905
17-02-2023,Group 2,vote-79787c6c8b-tk4cn,5.01676644910
17-02-2023,Group 2,vote-79787c6c8b-tk4cn,5.01676644915
17-02-2023,Group 2,vote-79787c6c8b-tk4cn,46.01676644921
17-02-2023,Group 2,vote-79787c6c8b-tk4cn,5.01676644926
17-02-2023,Group 2,vote-79787c6c8b-tk4cn,5.01676644931
17-02-2023,Group 2,vote-79787c6c8b-tk4cn,5.01676644936
17-02-2023,Group 2,vote-79787c6c8b-tk4cn,6.01676644942
17-02-2023,Group 2,vote-79787c6c8b-tk4cn,5.01676644947
17-02-2023,Group 2,vote-79787c6c8b-tk4cn,5.01676644952
17-02-2023,Group 2,vote-79787c6c8b-tk4cn,5.01676644957
17-02-2023,Group 2,vote-79787c6c8b-tk4cn,6.01676644963
17-02-2023,Group 2,vote-79787c6c8b-tk4cn,5.01676644968
17-02-2023,Group 2,vote-79787c6c8b-tk4cn,5.01676644973
17-02-2023,Group 2,vote-79787c6c8b-tk4cn,5.01676644978
17-02-2023,Group 2,vote-79787c6c8b-tk4cn,46.01676644984
17-02-2023,Group 2,vote-79787c6c8b-tk4cn,5.01676644989
17-02-2023,Group 2,vote-79787c6c8b-tk4cn,5.01676644994
17-02-2023,Group 2,vote-79787c6c8b-tk4cn,5.01676644999
17-02-2023,Group 2,vote-79787c6c8b-tk4cn,6.01676645005
17-02-2023,Group 2,vote-79787c6c8b-tk4cn,5.01676645010
17-02-2023,Group 2,vote-79787c6c8b-tk4cn,5.01676645015
17-02-2023,Group 2,vote-79787c6c8b-tk4cn,5.01676645020
17-02-2023,Group 2,vote-79787c6c8b-tk4cn,6.01676645026
17-02-2023,Group 2,vote-79787c6c8b-tk4cn,5.01676645031
17-02-2023,Group 2,vote-79787c6c8b-tk4cn,5.01676645036
17-02-2023,Group 2,vote-79787c6c8b-tk4cn,45.01676645041
17-02-2023,Group 2,worker-78b9ff59fc-sc8xc,1.01676645042
17-02-2023,Group 2,worker-78b9ff59fc-sc8xc,.01676645042
17-02-2023,Group 2,worker-78b9ff59fc-sc8xc,1.01676645043
17-02-2023,Group 2,worker-78b9ff59fc-sc8xc,.01676645043
17-02-2023,Group 2,worker-78b9ff59fc-sc8xc,1.01676645044
17-02-2023,Group 2,worker-78b9ff59fc-sc8xc,1.01676645045
17-02-2023,Group 2,worker-78b9ff59fc-sc8xc,.01676645045
17-02-2023,Group 2,worker-78b9ff59fc-sc8xc,1.01676645046
17-02-2023,Group 2,worker-78b9ff59fc-sc8xc,.01676645046
17-02-2023,Group 2,worker-78b9ff59fc-sc8xc,1.01676645047
17-02-2023,Group 2,worker-78b9ff59fc-sc8xc,.01676645047
17-02-2023,Group 2,worker-78b9ff59fc-sc8xc,1.01676645048
17-02-2023,Group 2,worker-78b9ff59fc-sc8xc,.01676645048
17-02-2023,Group 2,worker-78b9ff59fc-sc8xc,1.01676645049
17-02-2023,Group 2,worker-78b9ff59fc-sc8xc,.01676645049
17-02-2023,Group 2,worker-78b9ff59fc-sc8xc,1.01676645050
17-02-2023,Group 2,worker-78b9ff59fc-sc8xc,.01676645050
17-02-2023,Group 2,worker-78b9ff59fc-sc8xc,1.01676645051
17-02-2023,Group 2,worker-78b9ff59fc-sc8xc,.01676645051
17-02-2023,Group 2,worker-78b9ff59fc-sc8xc,1.01676645052
17-02-2023,Group 2,worker-78b9ff59fc-sc8xc,.01676645052
17-02-2023,Group 2,worker-78b9ff59fc-sc8xc,1.01676645053
17-02-2023,Group 2,worker-78b9ff59fc-sc8xc,.01676645053
17-02-2023,Group 2,worker-78b9ff59fc-sc8xc,1.01676645054
17-02-2023,Group 2,worker-78b9ff59fc-sc8xc,1.01676645055
17-02-2023,Group 2,worker-78b9ff59fc-sc8xc,.01676645055
17-02-2023,Group 2,worker-78b9ff59fc-sc8xc,1.01676645056
17-02-2023,Group 2,worker-78b9ff59fc-sc8xc,.01676645056
17-02-2023,Group 2,worker-78b9ff59fc-sc8xc,1.01676645057
17-02-2023,Group 2,worker-78b9ff59fc-sc8xc,.01676645057
