"Group","media","LOG"
"Group 1",0.5501,-0.5976551991007246
"Group 1",0.516775,-0.6601477022968374
"Group 1",0.516774,-0.6601496373768385
"Group 1",0.516775,-0.6601477022968374
"Group 1",0.250113,-1.3858424632411193
"Group 1",0.450108,-0.7982677250131645
"Group 1",0.516781,-0.6601360918954656
"Group 1",0.516777,-0.6601438321480688
"Group 1",0.483449,-0.726809450520952
"Group 1",0.516776,-0.6601457672205808
"Group 2",35.5501,3.5709429691848156
"Group 2",167.517,5.121084838652416
"Group 2",35.5168,3.5700058239755235
"Group 2",35.5501,3.5709429691848156
"Group 2",168.85,5.129010746831577
"Group 2",35.5168,3.5700058239755235
"Group 2",167.517,5.121084838652416
"Group 2",34.1501,3.5307655142701986
"Group 2",35.5168,3.5700058239755235
"Group 2",35.5501,3.5709429691848156
