Group,IPERF
Group 1,9.03
Group 1,9.13
Group 1,9.03
Group 1,8.96
Group 1,8.94
Group 1,9.03
Group 1,8.90
Group 1,8.95
Group 1,8.73
Group 1,9.19
Group 1,9.06
Group 1,9.13
Group 1,9.10
Group 1,9.17
Group 1,9.02
Group 1,9.12
Group 1,8.89
Group 1,9.09
Group 1,9.12
Group 1,8.74
Group 1,8.74
Group 1,9.15
Group 1,9.14
Group 1,8.88
Group 1,8.97
Group 1,9.07
Group 1,9.15
Group 1,9.14
Group 1,8.96
Group 1,8.91
Group 2,31.87
Group 2,31.86
Group 2,31.72
Group 2,31.71
Group 2,31.86
Group 2,31.82
Group 2,31.86
Group 2,31.85
Group 2,31.86
Group 2,31.85
Group 2,31.80
Group 2,31.86
Group 2,31.89
Group 2,31.87
Group 2,31.87
Group 2,31.87
Group 2,31.86
Group 2,31.85
Group 2,31.84
Group 2,31.85
Group 2,31.82
Group 2,31.74
Group 2,31.85
Group 2,31.79
Group 2,31.84
Group 2,31.87
Group 2,31.85
Group 2,31.84
Group 2,31.85
Group 2,31.81
