Group,WGET
Group 1,00.302
Group 1,00.286
Group 1,00.302
Group 1,00.300
Group 1,00.287
Group 1,00.277
Group 1,00.290
Group 1,00.284
Group 1,00.291
Group 1,00.293
Group 1,00.282
Group 1,00.287
Group 1,00.303
Group 1,00.298
Group 1,00.293
Group 1,00.302
Group 1,00.292
Group 1,00.291
Group 1,00.269
Group 1,00.277
Group 1,00.291
Group 1,00.289
Group 1,00.302
Group 1,00.307
Group 1,00.295
Group 1,00.295
Group 1,00.284
Group 1,00.277
Group 1,00.293
Group 1,00.290
Group 2,020.026
Group 2,020.039
Group 2,020.032
Group 2,020.029
Group 2,020.035
Group 2,020.029
Group 2,020.033
Group 2,020.032
Group 2,020.034
Group 2,020.037
Group 2,020.038
Group 2,020.043
Group 2,020.027
Group 2,020.031
Group 2,020.026
Group 2,020.038
Group 2,020.032
Group 2,020.036
Group 2,020.033
Group 2,020.033
Group 2,020.031
Group 2,020.098
Group 2,020.037
Group 2,020.027
Group 2,020.036
Group 2,020.034
Group 2,020.036
Group 2,020.028
Group 2,020.035
Group 2,020.035
