Group,APT
Group 2,10.01677967880
Group 2,11.01677967891
Group 2,11.01677967902
Group 2,10.01677967912
Group 2,51.01677967923
Group 2,10.01677967933
Group 2,11.01677967944
Group 2,10.01677967954
Group 2,11.01677967965
Group 2,11.01677967976
Group 2,50.01677967986
Group 2,11.01677967997
Group 2,10.01677968007
Group 2,11.01677968018
Group 2,11.01677968029
Group 2,10.01677968039
Group 2,51.01677968050
Group 2,11.01677968061
Group 2,10.01677968071
Group 2,11.01677968082
Group 2,10.01677968092
Group 2,51.01677968103
Group 2,11.01677968114
Group 2,10.01677968124
Group 2,11.01677968135
Group 2,10.01677968145
Group 2,11.01677968156
Group 2,51.01677968167
Group 2,10.01677968177
Group 2,11.01677968188
