Group,APT
Group 1,1.19
Group 1,0.76
Group 1,0.76
Group 1,0.74
Group 1,0.85
Group 1,0.77
Group 1,0.76
Group 1,0.73
Group 1,0.76
Group 1,1.13
Group 1,0.75
Group 1,0.80
Group 1,1.04
Group 1,0.76
Group 1,0.79
Group 1,0.76
Group 1,0.75
Group 1,0.73
Group 1,1.12
Group 1,0.76
Group 1,0.98
Group 1,0.74
Group 1,0.74
Group 1,0.76
Group 1,0.77
Group 1,0.78
Group 1,0.77
Group 1,1.08
Group 1,0.79
Group 1,0.77
Group 2,10.38
Group 2,10.40
Group 2,10.41
Group 2,10.41
Group 2,10.40
Group 2,10.39
Group 2,10.42
Group 2,10.41
Group 2,10.41
Group 2,10.39
Group 2,10.42
Group 2,10.40
Group 2,10.41
Group 2,10.38
Group 2,10.38
Group 2,10.51
Group 2,10.39
Group 2,10.41
Group 2,10.38
Group 2,10.41
Group 2,10.42
Group 2,10.55
Group 2,10.38
Group 2,10.41
Group 2,10.42
Group 2,10.38
Group 2,10.39
Group 2,10.52
Group 2,10.38
Group 2,10.42
