Group,APT
Group 1,01.563
Group 1,01.460
Group 1,01.483
Group 1,01.564
Group 1,01.635
Group 1,01.471
Group 1,01.524
Group 1,01.504
Group 1,01.551
Group 1,01.696
Group 1,01.499
Group 1,01.453
Group 1,01.513
Group 1,01.588
Group 1,01.680
Group 1,01.520
Group 1,01.433
Group 1,01.484
Group 1,01.526
Group 1,01.475
Group 1,01.540
Group 1,01.515
Group 1,01.505
Group 1,01.550
Group 1,01.534
Group 1,01.567
Group 1,01.555
Group 1,01.520
Group 1,01.573
Group 1,01.547
Group 2,040.109
Group 2,040.074
Group 2,040.092
Group 2,040.096
Group 2,040.087
Group 2,040.173
Group 2,040.088
Group 2,040.098
Group 2,040.084
Group 2,040.086
Group 2,040.084
Group 2,040.097
Group 2,040.093
Group 2,040.096
Group 2,040.084
Group 2,040.100
Group 2,040.074
Group 2,040.079
Group 2,040.082
Group 2,040.086
Group 2,040.090
Group 2,040.079
Group 2,040.084
Group 2,040.101
Group 2,040.084
Group 2,040.091
Group 2,040.086
Group 2,040.088
Group 2,040.079
Group 2,040.098
